"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2024","35,78","36,19","1,49","35,77","36,37","703,99M"
"27/12/2024","35,63","35,66","-0,31","35,61","36,00","1,59B"
"26/12/2024","n/d","35,77","0,39","35,60","36,00","700,93M"
"23/12/2024","n/d","35,63","0,03","35,49","35,81","1,22B"
"20/12/2024","36,40","35,62","-0,83","35,49","36,10","2,66B"
"19/12/2024","37,00","35,92","-0,75","35,75","36,66","3,55B"
"18/12/2024","36,67","36,19","-2,25","36,10","37,12","3,18B"
"17/12/2024","36,92","37,02","0,95","36,57","37,21","2,07B"
"16/12/2024","36,92","36,67","-0,42","36,57","36,98","641,77M"
"13/12/2024","37,31","36,83","-0,63","36,74","36,83","2,19B"
"12/12/2024","37,43","37,06","-1,79","36,86","37,16","1,30B"
"11/12/2024","37,51","37,74","1,00","37,14","37,90","1,76B"
"10/12/2024","36,61","37,37","0,37","37,29","37,59","1,70B"
"09/12/2024","36,61","37,23","2,59","36,60","37,35","927,99M"
"06/12/2024","36,62","36,29","-1,54","36,22","36,91","1,97B"
"05/12/2024","36,72","36,85","0,99","36,45","37,01","2,01B"
"04/12/2024","36,63","36,49","-0,63","36,25","37,06","1,87B"
"03/12/2024","36,17","36,72","0,89","36,33","36,72","1,83B"
"02/12/2024","36,17","36,40","0,64","36,05","36,63","1,07B"
"29/11/2024","35,79","36,17","0,80","36,00","36,46","2,58B"
"28/11/2024","36,08","35,88","-1,03","35,68","36,53","2,15B"
"27/11/2024","36,45","36,25","-0,36","36,10","36,59","2,31B"
"26/11/2024","36,61","36,38","-0,13","36,31","36,73","2,70B"
"25/11/2024","n/d","36,43","-0,61","36,40","37,06","1,34B"
"22/11/2024","35,30","36,65","3,98","35,77","37,03","4,27B"
"21/11/2024","35,42","35,25","0,29","34,91","35,45","2,11B"
"19/11/2024","34,59","35,14","-1,05","35,00","35,61","2,21B"
"18/11/2024","34,59","35,52","2,50","34,59","35,61","1,28B"
"14/11/2024","34,35","34,65","1,06","34,27","34,71","2,05B"
"13/11/2024","33,80","34,29","-0,14","33,96","34,46","2,42B"
"12/11/2024","33,46","34,33","1,88","33,79","34,50","1,97B"
"11/11/2024","33,46","33,70","0,19","33,38","33,86","673,98M"
"08/11/2024","33,00","33,64","1,89","33,04","33,77","2,70B"
"07/11/2024","32,59","33,01","0,31","32,79","33,37","1,97B"
"06/11/2024","33,01","32,91","0,03","32,58","32,97","1,68B"
"05/11/2024","33,38","32,90","-0,31","32,57","33,10","1,51B"
"04/11/2024","33,38","33,01","0,23","32,89","33,42","729,37M"
"01/11/2024","33,66","32,93","-1,36","32,82","33,81","1,01B"
"31/10/2024","33,35","33,39","0,17","33,13","33,52","849,52M"
"30/10/2024","33,58","33,33","-0,44","33,33","33,81","870,57M"
"29/10/2024","33,78","33,48","-0,22","33,28","33,86","869,36M"
"28/10/2024","33,00","33,55","-0,17","32,86","33,59","913,60M"
"25/10/2024","33,43","33,61","0,70","33,33","33,93","1,08B"
"24/10/2024","33,33","33,38","0,67","33,06","33,50","765,58M"
"23/10/2024","33,39","33,15","-1,25","33,07","33,41","1,02B"
"22/10/2024","33,66","33,57","-0,39","33,46","33,75","975,09M"
"21/10/2024","34,40","33,70","-1,58","33,66","34,45","954,12M"
"18/10/2024","34,38","34,24","-0,27","33,85","34,46","1,08B"
"17/10/2024","34,59","34,33","-0,75","34,11","34,59","754,42M"
"16/10/2024","34,91","34,59","-0,51","34,58","34,94","795,19M"
"15/10/2024","34,59","34,77","-0,82","34,46","34,78","972,31M"
"14/10/2024","34,84","35,06","0,24","34,72","35,24","766,68M"
